Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2003-05-26,19:23:27,128.85,2.35,31.0,7.0,mwc,USGS
2003-05-26,22:37:31,128.78,2.55,22.0,4.6,mb,USGS
2003-05-27,01:05:23,128.81,2.56,33.0,4.7,mb,USGS
2003-05-27,04:23:15,128.8,2.31,33.0,5.0,mb,USGS
2003-05-27,10:32:04,128.85,1.88,33.0,5.3,mwc,USGS
2003-05-27,12:23:35,128.71,2.37,33.0,4.8,mb,USGS
2003-05-27,13:09:32,128.85,2.35,33.0,4.8,mb,USGS
2003-05-27,13:10:57,129.03,2.59,33.0,4.9,mb,USGS
2003-05-27,13:14:49,128.87,2.44,33.0,4.7,mb,USGS
2003-05-27,13:59:39,127.62,2.03,33.0,4.5,mb,USGS
2003-05-27,14:00:54,128.94,2.51,33.0,4.6,mb,USGS
2003-05-28,06:56:48,128.93,2.6,33.0,4.7,mb,USGS
2003-05-28,20:17:25,126.8,2.4,60.3,5.2,mwc,USGS
2003-05-29,03:43:19,126.52,1.24,33.0,4.6,mb,USGS
2003-05-29,05:35:56,126.47,1.25,33.0,4.2,mb,USGS
2003-05-29,06:25:34,128.87,2.4,52.8,5.3,mwc,USGS
2003-05-29,11:28:42,128.75,2.36,89.2,4.6,mb,USGS
2003-05-29,12:01:39,128.75,0.5,39.7,5.0,mwc,USGS
2003-05-29,13:51:29,128.97,2.69,33.0,4.5,mb,USGS
2003-05-29,15:48:27,128.7,2.53,66.0,4.9,mb,USGS
2003-05-30,01:41:01,128.79,2.58,33.0,4.7,mb,USGS
2003-05-30,04:14:16,128.63,2.53,44.3,4.8,mb,USGS
2003-05-31,22:56:36,128.76,2.21,33.0,4.9,mb,USGS
2003-05-31,22:59:51,128.45,2.16,33.0,4.6,mb,USGS
