Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2000-11-18,23:05:39,153.45,-5.38,33.0,6.1,mwc,USGS
2000-11-18,23:12:24,153.37,-5.47,33.0,4.8,mb,USGS
2000-11-19,00:04:56,153.21,-4.63,33.0,4.4,mb,USGS
2000-11-19,00:06:25,152.38,-5.56,33.0,4.8,mb,USGS
2000-11-19,00:13:44,153.45,-5.7,33.0,4.6,mb,USGS
2000-11-19,00:38:36,153.1,-4.68,33.0,5.7,mwc,USGS
2000-11-19,01:17:01,153.59,-5.84,33.0,4.5,mb,USGS
2000-11-19,01:42:17,152.09,-5.31,33.0,5.2,mb,USGS
2000-11-19,01:48:10,153.56,-5.33,33.0,5.0,mb,USGS
2000-11-19,02:07:46,153.57,-5.3,33.0,4.5,mb,USGS
2000-11-19,02:45:27,151.66,-5.13,57.8,6.0,mwb,USGS
2000-11-19,03:06:56,153.2,-5.71,33.0,5.0,mb,USGS
2000-11-19,03:41:27,153.5,-6.19,33.0,4.6,mb,USGS
2000-11-19,03:48:20,153.24,-6.4,33.0,4.7,mb,USGS
2000-11-19,03:56:49,151.59,-5.83,33.0,4.1,mb,USGS
2000-11-19,05:29:25,153.01,-4.86,63.8,5.5,mwc,USGS
2000-11-19,05:35:19,151.87,-5.59,33.0,6.1,mwc,USGS
2000-11-19,06:50:07,153.22,-5.27,33.0,4.8,mb,USGS
2000-11-19,07:13:42,151.55,-4.21,33.0,4.5,mb,USGS
2000-11-19,07:35:55,153.0,-6.36,33.0,4.5,mb,USGS
2000-11-19,07:45:18,153.23,-5.79,33.0,4.3,mb,USGS
2000-11-19,07:51:15,153.03,-5.15,33.0,4.3,mb,USGS
2000-11-19,08:47:04,151.91,-5.7,33.0,4.1,mb,USGS
2000-11-19,09:49:13,152.88,-5.31,33.0,5.4,mwc,USGS
2000-11-19,10:01:42,152.1,-5.72,33.0,5.1,mb,USGS
2000-11-19,12:25:22,153.28,-4.95,33.0,5.0,mb,USGS
2000-11-19,12:35:41,152.74,-5.41,33.0,4.5,mb,USGS
2000-11-19,12:39:49,151.9,-5.77,33.0,4.3,mb,USGS
2000-11-19,12:50:41,153.4,-4.78,33.0,4.7,mb,USGS
2000-11-19,13:19:22,153.31,-4.83,33.0,4.2,mb,USGS
2000-11-19,13:38:39,151.37,-4.29,33.0,4.5,mb,USGS
2000-11-19,14:18:38,152.12,-5.59,33.0,4.9,mb,USGS
2000-11-19,14:41:46,152.88,-5.33,33.0,4.3,mb,USGS
2000-11-19,15:24:21,152.21,-3.83,33.0,4.6,mb,USGS
2000-11-19,16:06:15,154.49,-5.32,33.0,4.1,mb,USGS
2000-11-19,16:22:14,153.11,-4.8,33.0,5.9,mwc,USGS
2000-11-19,16:37:22,153.11,-4.72,33.0,5.0,mb,USGS
2000-11-19,16:50:06,153.22,-5.25,33.0,4.3,mb,USGS
2000-11-19,17:30:49,152.05,-5.48,33.0,4.9,mb,USGS
2000-11-19,18:43:43,153.53,-6.51,33.0,4.5,mb,USGS
2000-11-19,19:27:18,153.1,-5.08,33.0,4.5,mb,USGS
2000-11-19,21:38:20,153.06,-5.5,33.0,4.4,mb,USGS
2000-11-19,22:09:48,153.58,-5.26,33.0,4.5,mb,USGS
2000-11-19,22:32:05,152.38,-4.15,33.0,4.4,mb,USGS
2000-11-19,23:21:37,153.61,-6.78,33.0,4.4,mb,USGS
2000-11-20,00:02:45,153.07,-5.33,33.0,4.2,mb,USGS
2000-11-20,00:13:04,153.41,-6.37,33.0,4.5,mb,USGS
2000-11-20,00:33:44,151.75,-4.82,33.0,4.4,mb,USGS
2000-11-20,00:51:56,152.28,-5.67,33.0,4.4,mb,USGS
2000-11-20,00:57:26,153.58,-6.47,33.0,4.3,mb,USGS
2000-11-20,02:29:53,152.77,-4.92,33.0,4.0,mb,USGS
2000-11-20,02:56:55,153.12,-5.11,33.0,4.2,mb,USGS
2000-11-20,05:10:18,152.61,-4.97,33.0,4.6,mb,USGS
2000-11-20,05:44:04,152.13,-3.8,33.0,4.4,mb,USGS
2000-11-20,05:47:40,152.97,-4.63,33.0,4.2,mb,USGS
2000-11-20,06:13:37,153.06,-5.03,33.0,4.6,mb,USGS
2000-11-20,06:19:38,152.95,-5.15,33.0,4.2,mb,USGS
2000-11-20,07:22:23,152.47,-5.17,33.0,5.4,mwc,USGS
2000-11-20,08:01:08,152.39,-5.26,33.0,4.8,mb,USGS
2000-11-20,08:29:22,151.5,-5.94,33.0,4.6,mb,USGS
2000-11-20,08:49:34,152.83,-5.07,33.0,5.4,mwc,USGS
2000-11-20,08:57:14,153.53,-5.43,33.0,4.9,mb,USGS
2000-11-20,09:12:31,151.38,-5.87,33.0,4.2,mb,USGS
2000-11-20,09:18:49,152.83,-5.37,33.0,4.7,mb,USGS
2000-11-20,11:11:04,152.09,-5.64,33.0,4.9,mb,USGS
2000-11-20,11:34:02,151.86,-5.38,58.4,4.8,mb,USGS
2000-11-20,12:22:34,152.73,-5.41,33.0,4.4,mb,USGS
2000-11-20,12:29:22,153.32,-4.76,33.0,4.4,mb,USGS
2000-11-20,12:48:44,153.63,-6.55,33.0,4.5,mb,USGS
2000-11-20,14:49:01,151.72,-5.95,33.0,4.1,mb,USGS
2000-11-20,14:53:52,152.76,-5.62,33.0,4.5,mb,USGS
2000-11-20,15:06:55,153.46,-5.71,33.0,4.2,mb,USGS
2000-11-20,15:36:53,153.56,-6.33,33.0,4.4,mb,USGS
2000-11-20,15:51:59,151.94,-5.73,33.0,4.3,mb,USGS
2000-11-20,15:52:46,153.15,-6.15,33.0,4.6,mb,USGS
2000-11-20,16:18:10,151.97,-5.79,33.0,4.7,mb,USGS
2000-11-20,17:13:17,153.09,-4.85,33.0,4.2,mb,USGS
2000-11-20,17:25:46,153.38,-5.32,33.0,4.2,mb,USGS
2000-11-20,18:00:21,153.51,-6.57,33.0,4.1,mb,USGS
2000-11-20,18:06:56,152.84,-5.1,33.0,4.4,mb,USGS
2000-11-20,19:24:04,152.89,-4.16,33.0,4.2,mb,USGS
2000-11-20,21:18:45,152.87,-4.38,33.0,4.7,mb,USGS
2000-11-20,22:03:55,152.46,-5.2,33.0,4.2,mb,USGS
2000-11-20,22:56:22,153.63,-6.63,33.0,4.2,mb,USGS
2000-11-21,00:08:05,153.06,-4.74,33.0,4.0,mb,USGS
2000-11-21,00:55:53,152.82,-5.13,33.0,4.5,mb,USGS
2000-11-21,01:22:37,152.08,-5.52,33.0,4.8,mb,USGS
2000-11-21,01:48:39,152.91,-5.68,33.0,4.1,mb,USGS
2000-11-21,01:49:06,152.49,-5.17,33.0,4.4,mb,USGS
2000-11-21,02:57:28,153.52,-4.78,33.0,4.3,mb,USGS
2000-11-21,03:29:59,151.91,-5.26,33.0,4.8,mb,USGS
2000-11-21,04:03:46,153.45,-4.96,33.0,4.3,mb,USGS
2000-11-21,04:24:51,152.9,-4.42,33.0,4.2,mb,USGS
2000-11-21,04:44:18,152.78,-4.48,33.0,5.7,mwc,USGS
2000-11-21,07:07:18,151.87,-5.61,33.0,4.4,mb,USGS
2000-11-21,08:09:00,152.09,-5.11,33.0,4.7,mb,USGS
2000-11-21,08:41:20,151.93,-5.75,33.0,4.2,mb,USGS
2000-11-21,08:43:09,152.53,-5.2,33.0,4.7,mb,USGS
2000-11-21,09:28:57,152.09,-5.1,33.0,4.8,mb,USGS
2000-11-21,09:41:05,151.25,-5.38,33.0,4.2,mb,USGS
2000-11-21,10:11:14,152.84,-4.63,33.0,4.1,mb,USGS
2000-11-21,13:45:00,153.23,-5.58,33.0,4.0,mb,USGS
2000-11-21,15:06:08,153.43,-5.08,33.0,4.2,mb,USGS
2000-11-21,15:15:49,152.34,-3.86,33.0,4.8,mb,USGS
2000-11-21,15:22:37,153.38,-4.94,33.0,4.7,mb,USGS
