Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2003-06-15,19:24:33,176.92,51.55,20.0,6.5,mwb,USGS
2003-06-15,19:33:46,176.69,51.68,15.6,3.9,ml,USGS
2003-06-15,19:37:41,176.64,51.46,10.0,3.0,ml,USGS
2003-06-15,20:26:40,176.96,51.57,10.0,4.0,mb,USGS
2003-06-15,20:50:46,176.33,50.92,1.0,3.2,ml,USGS
2003-06-15,21:40:41,176.48,51.3,45.7,2.9,ml,USGS
2003-06-16,02:38:40,177.8,50.55,10.0,3.5,ml,USGS
2003-06-16,02:54:06,176.76,51.43,10.0,4.3,mb,USGS
2003-06-16,03:01:35,176.74,51.1,0.6,3.1,ml,USGS
2003-06-16,05:52:21,176.26,50.85,10.0,3.9,ml,USGS
2003-06-16,08:57:59,176.48,51.38,1.2,3.0,ml,USGS
2003-06-16,16:56:15,176.6,51.42,10.0,3.4,ml,USGS
2003-06-17,19:27:08,176.69,51.38,52.3,3.3,ml,USGS
2003-06-19,03:26:34,179.94,50.22,10.0,3.1,ml,USGS
2003-06-19,10:51:55,176.71,51.45,10.0,4.8,mb,USGS
2003-06-20,10:57:22,179.24,52.28,200.3,3.3,ml,USGS
2003-06-20,21:49:09,179.74,52.26,176.2,5.4,mwc,USGS
2003-06-21,22:26:34,179.21,52.38,188.3,3.7,mb,USGS
