Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2003-07-25,22:13:29,141.0,38.41,6.0,6.1,mwc,USGS
2003-07-25,22:44:11,140.99,38.69,10.0,4.3,mb,USGS
2003-07-25,22:51:58,141.46,38.51,10.0,4.6,mb,USGS
2003-07-25,23:09:28,141.3,38.5,10.0,4.4,mb,USGS
2003-07-26,01:22:22,141.06,38.51,10.0,5.1,mb,USGS
2003-07-26,02:05:35,141.22,38.55,10.0,4.1,mb,USGS
2003-07-26,05:52:49,141.1,38.51,10.0,4.2,mb,USGS
2003-07-26,05:53:25,141.29,38.45,10.0,4.3,mb,USGS
2003-07-26,06:03:37,141.34,38.34,10.0,4.3,mb,USGS
2003-07-26,06:41:52,141.14,38.62,10.0,4.3,mb,USGS
2003-07-26,07:56:43,141.0,38.48,10.0,5.3,mwc,USGS
2003-07-26,15:56:31,141.81,36.9,31.4,4.3,mb,USGS
2003-07-27,04:20:28,141.15,38.58,10.0,4.4,mb,USGS
2003-07-27,07:43:30,141.2,38.49,10.0,4.4,mb,USGS
2003-07-27,19:08:03,141.03,38.54,10.0,5.1,mwc,USGS
2003-07-28,07:24:34,141.25,36.69,55.3,4.3,mb,USGS
2003-07-30,19:08:38,140.97,38.56,33.0,4.2,mb,USGS
