Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2003-09-26,20:38:22,144.58,41.99,33.0,6.0,mwb,USGS
2003-09-26,22:00:23,144.48,42.18,33.0,4.2,mb,USGS
2003-09-26,22:11:32,144.53,41.99,33.0,4.8,mb,USGS
2003-09-27,00:58:04,144.71,41.88,33.0,4.7,mb,USGS
2003-09-27,02:14:06,144.08,42.04,33.0,4.8,mb,USGS
2003-09-27,02:58:10,144.13,41.81,33.0,4.8,mb,USGS
2003-09-27,03:56:40,144.16,41.7,33.0,4.9,mb,USGS
2003-09-27,04:41:05,144.78,41.91,33.0,4.8,mb,USGS
2003-09-27,07:02:43,143.56,41.78,33.0,4.8,mb,USGS
2003-09-27,08:06:20,144.25,42.74,52.2,5.3,mwc,USGS
2003-09-27,10:50:23,144.39,41.79,33.0,4.8,mb,USGS
2003-09-27,11:24:16,144.0,41.7,33.0,4.1,mb,USGS
2003-09-27,16:01:01,144.6,41.99,33.0,4.8,mb,USGS
2003-09-27,16:07:38,144.37,42.23,33.0,5.0,mb,USGS
2003-09-27,22:23:19,142.85,42.24,33.0,5.3,mb,USGS
2003-09-27,23:04:39,144.56,42.13,33.0,5.0,mb,USGS
2003-09-28,00:23:06,143.27,42.25,33.0,5.2,mwc,USGS
2003-09-28,02:28:24,144.62,41.89,33.0,3.9,mb,USGS
2003-09-28,02:55:51,143.98,41.55,33.0,3.8,mb,USGS
2003-09-28,02:59:11,144.56,41.98,30.9,4.5,mb,USGS
2003-09-28,04:17:54,144.72,42.62,33.0,5.6,mwc,USGS
2003-09-28,06:22:23,143.94,41.44,33.0,4.3,mb,USGS
2003-09-28,07:28:34,143.94,41.47,33.0,4.0,mb,USGS
2003-09-28,10:31:26,144.8,42.15,33.0,4.0,mb,USGS
2003-09-28,11:08:49,144.83,41.95,32.6,4.2,mb,USGS
2003-09-28,14:13:52,144.57,41.95,33.0,4.8,mb,USGS
2003-09-28,16:50:57,145.16,41.88,30.4,5.4,mwc,USGS
2003-09-28,20:57:42,144.46,41.87,33.0,4.6,mb,USGS
2003-09-28,20:59:51,144.75,41.97,34.1,4.8,mb,USGS
2003-09-28,21:18:27,143.67,42.06,33.0,4.2,mb,USGS
2003-09-28,21:29:43,144.71,42.1,33.8,5.1,mwc,USGS
2003-09-28,22:26:12,144.14,41.94,36.7,4.5,mb,USGS
2003-09-29,02:36:53,144.38,42.45,25.0,6.5,mwc,USGS
2003-09-29,03:40:38,147.71,43.05,33.0,4.5,mb,USGS
2003-09-29,07:49:56,143.94,42.39,33.0,5.4,mwb,USGS
2003-09-29,08:10:09,144.8,41.96,33.0,4.4,mb,USGS
2003-09-29,10:35:31,143.98,42.35,33.0,4.4,mb,USGS
2003-09-29,10:44:30,143.93,42.36,47.4,4.7,mb,USGS
2003-09-29,12:43:01,144.17,42.55,33.0,4.5,mb,USGS
2003-09-29,14:22:14,144.37,42.05,33.0,5.5,mwc,USGS
2003-09-29,14:27:19,144.49,42.43,33.0,4.7,mb,USGS
2003-09-29,17:31:18,144.04,41.41,33.0,4.7,mb,USGS
2003-09-29,20:24:40,144.84,42.18,33.0,4.7,mb,USGS
2003-09-29,21:22:11,144.15,41.4,33.0,5.6,mwc,USGS
2003-09-29,21:28:17,143.96,41.46,33.0,4.9,mb,USGS
2003-09-29,21:33:20,143.89,41.45,33.0,4.9,mb,USGS
2003-09-29,22:09:18,144.19,41.39,33.0,5.3,mwc,USGS
2003-09-29,23:24:25,144.66,41.95,33.0,5.0,mb,USGS
2003-09-30,08:49:59,144.09,41.47,33.0,4.8,mb,USGS
2003-09-30,16:24:47,142.32,42.05,65.2,4.5,mb,USGS
2003-10-01,01:30:24,144.73,41.95,33.0,5.1,mb,USGS
2003-10-01,04:10:07,144.06,41.39,33.0,4.9,mb,USGS
2003-10-01,07:30:46,143.97,41.44,33.0,4.2,mb,USGS
2003-10-01,10:25:38,144.09,42.06,33.0,4.5,mb,USGS
2003-10-01,16:23:29,144.4,42.01,33.0,5.4,mwc,USGS
2003-10-01,17:22:15,144.48,41.79,33.0,4.8,mb,USGS
2003-10-01,23:04:53,143.46,41.37,33.0,5.3,mwc,USGS
2003-10-02,00:34:45,144.14,41.91,33.0,4.6,mb,USGS
2003-10-02,05:58:24,144.04,41.42,33.0,4.7,mb,USGS
2003-10-02,11:08:49,144.57,41.75,33.0,4.3,mb,USGS
2003-10-03,04:45:18,143.45,41.87,33.0,5.2,mwc,USGS
2003-10-03,07:01:53,143.46,41.41,33.0,4.8,mb,USGS
2003-10-03,11:25:41,143.82,42.57,33.0,4.6,mb,USGS
