Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2002-02-03,07:11:28,31.27,38.57,5.0,6.5,mwc,USGS
2002-02-03,07:14:36,30.87,38.7,10.0,5.5,mb,USGS
2002-02-03,07:57:43,31.21,38.61,10.0,3.8,mb,USGS
2002-02-03,08:23:33,31.03,38.56,10.0,3.5,md,USGS
2002-02-03,09:26:43,30.9,38.63,10.0,6.0,mwb,USGS
2002-02-03,09:38:28,30.84,38.59,10.0,3.8,mb,USGS
2002-02-03,09:54:58,31.22,38.52,10.0,3.3,md,USGS
2002-02-03,09:55:59,30.76,38.62,10.0,4.0,mb,USGS
2002-02-03,10:00:15,31.22,38.58,10.0,4.3,mb,USGS
2002-02-03,10:15:41,30.87,38.51,10.0,4.0,mb,USGS
2002-02-03,11:39:55,31.18,38.55,10.0,5.3,mwc,USGS
2002-02-03,11:54:35,31.17,38.59,10.0,4.8,mb,USGS
2002-02-03,12:15:16,30.8,38.42,10.0,3.4,md,USGS
2002-02-03,14:40:56,31.32,38.59,10.0,4.3,mb,USGS
2002-02-03,20:31:08,31.08,38.48,10.0,3.8,mb,USGS
