Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2002-10-19,12:09:05,149.96,44.3,33.0,6.3,mwc,USGS
2002-10-19,13:09:55,149.86,44.59,33.0,4.0,mb,USGS
2002-10-19,13:32:42,149.6,44.93,33.0,4.9,mb,USGS
2002-10-19,15:05:33,149.61,44.06,33.0,3.9,mb,USGS
2002-10-19,16:59:33,149.45,44.32,33.0,4.6,mb,USGS
2002-10-20,13:28:51,150.54,46.64,167.1,4.7,mb,USGS
2002-10-20,19:15:54,149.39,45.02,42.0,4.3,mb,USGS
2002-10-21,08:25:01,149.65,44.35,33.0,4.5,mb,USGS
2002-10-22,19:29:30,149.47,44.15,33.0,4.7,mb,USGS
2002-10-23,14:32:44,149.54,44.12,44.0,4.6,mb,USGS
2002-10-23,16:19:23,149.52,44.71,33.0,4.7,mb,USGS
2002-10-24,10:13:22,147.57,45.08,139.2,4.5,mb,USGS
