Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2001-01-01,06:57:04,126.58,6.9,33.0,7.5,mwc,USGS
2001-01-01,07:32:43,126.8,7.08,33.0,4.8,mb,USGS
2001-01-01,08:36:53,126.73,6.71,33.0,5.0,mb,USGS
2001-01-01,08:54:31,126.9,6.63,33.0,6.8,mwc,USGS
2001-01-01,09:12:25,126.86,6.58,33.0,4.9,mb,USGS
2001-01-01,09:20:11,126.8,6.64,33.0,5.0,mb,USGS
2001-01-01,09:34:29,126.77,6.81,33.0,5.1,mb,USGS
2001-01-01,12:19:45,127.2,6.65,33.0,4.4,mb,USGS
2001-01-01,21:28:49,126.88,6.41,33.0,5.0,mb,USGS
2001-01-01,22:27:25,127.09,6.57,33.0,4.6,mb,USGS
2001-01-01,22:41:26,126.89,6.84,33.0,5.0,mb,USGS
2001-01-01,22:59:29,126.8,6.85,33.0,4.9,mb,USGS
2001-01-02,07:30:03,126.81,6.75,33.0,6.4,mwc,USGS
2001-01-02,17:51:34,127.28,5.84,33.0,4.7,mb,USGS
2001-01-03,10:05:40,127.07,5.49,33.0,4.4,mb,USGS
2001-01-03,15:13:07,126.87,6.7,112.5,4.9,mb,USGS
2001-01-04,11:01:32,127.18,6.87,33.0,4.7,mb,USGS
2001-01-04,17:44:35,127.09,6.18,33.0,4.8,mb,USGS
2001-01-04,19:39:24,126.84,6.79,33.0,5.0,mb,USGS
2001-01-05,01:42:00,126.96,6.84,33.0,4.8,mb,USGS
2001-01-05,22:51:53,126.84,6.92,83.6,5.5,mwc,USGS
2001-01-05,23:23:56,126.91,6.9,94.8,4.8,mb,USGS
2001-01-06,04:03:23,127.32,5.77,82.6,5.0,mb,USGS
2001-01-06,04:45:29,126.87,6.77,33.0,5.6,mwc,USGS
2001-01-06,15:55:31,127.35,5.85,53.4,5.7,mwc,USGS
2001-01-07,04:08:11,127.31,5.63,33.0,4.3,mb,USGS
2001-01-07,13:08:42,126.83,6.63,33.0,3.8,mb,USGS
2001-01-07,18:34:43,127.32,5.58,33.0,4.7,mb,USGS
2001-01-08,04:20:48,127.37,5.53,33.0,5.1,mwc,USGS
2001-01-08,05:42:47,127.02,6.61,33.0,4.6,mb,USGS
