Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2004-01-01,23:31:50,-101.3,17.49,29.4,6.1,mwc,USGS
2004-01-01,23:58:01,-101.31,17.42,28.3,5.7,mwc,USGS
2004-01-02,00:40:49,-101.61,17.06,11.0,4.2,md,USGS
2004-01-02,10:03:36,-101.78,17.07,7.6,4.1,md,USGS
2004-01-02,22:05:18,-99.75,16.67,5.9,4.3,md,USGS
2004-01-03,01:33:07,-102.29,18.25,6.0,4.3,md,USGS
2004-01-03,21:01:29,-100.59,17.18,51.5,4.0,md,USGS
2004-01-04,05:01:34,-99.5,16.81,10.7,4.8,mb,USGS
2004-01-04,08:34:26,-100.12,16.81,14.6,3.8,md,USGS
2004-01-04,12:05:53,-103.18,18.39,1.9,4.0,md,USGS
2004-01-04,18:18:20,-100.09,16.85,5.0,3.6,md,USGS
2004-01-04,18:19:01,-99.92,16.72,5.0,3.9,md,USGS
2004-01-04,23:04:07,-101.5,17.3,16.0,3.8,md,USGS
2004-01-05,05:29:45,-101.84,16.86,20.0,4.1,mb,USGS
2004-01-06,02:52:53,-100.15,16.86,12.9,3.7,md,USGS
2004-01-08,12:58:24,-101.09,17.5,72.5,3.9,md,USGS
2004-01-08,13:05:49,-100.92,17.62,30.3,4.0,md,USGS
