Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2000-07-20,18:39:18,140.98,36.51,47.1,6.0,mwc,USGS
2000-07-20,22:29:23,141.37,36.47,10.0,4.4,mb,USGS
2000-07-21,05:16:37,141.07,35.18,52.4,5.7,mwc,USGS
2000-07-23,01:33:15,139.29,34.2,10.0,4.6,mb,USGS
2000-07-23,03:15:08,139.25,34.23,10.0,5.3,mwc,USGS
2000-07-23,03:56:15,139.32,34.18,10.0,4.6,mb,USGS
2000-07-23,06:39:53,141.17,35.03,33.0,3.7,mb,USGS
2000-07-23,08:02:21,141.21,35.21,33.0,3.6,mb,USGS
2000-07-23,17:13:13,139.37,34.19,10.0,4.1,mb,USGS
2000-07-23,19:13:27,139.39,34.17,10.0,4.5,mb,USGS
2000-07-23,20:07:12,139.09,34.4,10.0,4.7,mb,USGS
2000-07-23,20:22:33,139.58,34.35,10.0,3.7,mb,USGS
2000-07-23,20:44:54,139.41,34.16,10.0,4.2,mb,USGS
2000-07-23,20:53:40,139.1,34.31,10.0,4.6,mb,USGS
2000-07-23,21:12:14,139.22,34.25,10.0,4.2,mb,USGS
2000-07-23,22:22:09,139.41,34.15,10.0,4.4,mb,USGS
2000-07-23,22:22:18,139.31,34.33,10.0,4.5,mb,USGS
2000-07-24,00:39:01,139.5,34.2,10.0,4.2,ms,USGS
2000-07-25,05:36:19,139.32,34.22,10.0,4.4,mb,USGS
2000-07-25,06:55:15,139.44,34.16,10.0,4.0,mb,USGS
2000-07-25,07:12:50,139.28,34.22,10.0,5.1,mwc,USGS
2000-07-25,07:32:39,139.58,34.19,10.0,3.9,mb,USGS
2000-07-25,08:10:15,139.34,34.18,10.0,5.0,mb,USGS
2000-07-25,09:30:14,139.67,34.23,10.0,4.4,mb,USGS
2000-07-25,11:18:16,139.57,34.09,10.0,4.4,mb,USGS
2000-07-25,19:15:33,139.66,34.1,10.0,4.1,mb,USGS
2000-07-25,23:02:56,142.56,36.37,10.0,4.3,mb,USGS
2000-07-27,01:49:53,139.37,34.21,10.0,5.6,mwc,USGS
2000-07-27,02:15:16,139.32,34.18,10.0,4.7,mb,USGS
2000-07-27,06:07:31,139.15,34.42,10.0,4.8,mb,USGS
2000-07-27,06:11:59,139.39,34.49,10.0,4.1,mb,USGS
