Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2003-10-31,01:06:28,142.62,37.81,10.0,7.0,mwb,USGS
2003-10-31,02:11:46,143.08,37.76,10.0,4.2,mb,USGS
2003-10-31,02:34:48,142.9,37.73,10.0,4.4,mb,USGS
2003-10-31,02:47:18,143.05,37.86,10.0,4.0,mb,USGS
2003-10-31,05:31:08,142.84,37.83,10.0,4.7,mb,USGS
2003-10-31,08:17:33,143.11,37.8,10.0,4.6,mb,USGS
2003-10-31,08:24:51,143.08,37.83,10.0,4.6,mb,USGS
2003-10-31,12:09:09,142.69,38.11,10.0,3.9,mb,USGS
2003-10-31,14:15:09,139.83,38.6,153.2,5.2,mwc,USGS
2003-11-01,00:26:56,143.16,37.79,10.0,5.0,mwc,USGS
2003-11-01,09:25:12,143.16,37.84,10.0,4.8,mb,USGS
2003-11-01,11:36:25,143.09,37.44,10.0,4.6,mb,USGS
2003-11-01,13:10:07,143.08,37.74,10.0,5.9,mwb,USGS
2003-11-01,13:38:01,143.27,37.63,10.0,4.6,mb,USGS
2003-11-01,14:18:59,142.98,37.7,10.0,4.2,mb,USGS
2003-11-01,14:30:42,143.06,37.45,10.0,4.8,mb,USGS
2003-11-01,15:16:10,143.27,37.84,10.0,4.3,mb,USGS
2003-11-01,15:24:53,143.16,37.42,10.0,4.7,mb,USGS
2003-11-02,00:35:57,141.48,38.83,107.7,4.4,mb,USGS
2003-11-02,02:01:38,143.29,37.71,10.0,4.6,mb,USGS
2003-11-02,02:58:14,143.07,37.73,10.0,5.3,mwc,USGS
2003-11-03,07:11:33,142.31,37.44,10.0,5.4,mwc,USGS
2003-11-05,22:11:52,143.37,37.36,10.0,4.3,mb,USGS
2003-11-06,02:24:18,142.0,36.69,33.0,4.1,mb,USGS
2003-11-06,03:30:45,142.94,37.43,10.0,4.8,mb,USGS
