Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2002-11-02,01:26:10,96.08,2.82,30.0,7.4,mwb,USGS
2002-11-02,01:38:20,95.9,2.67,23.5,5.2,mb,USGS
2002-11-02,01:45:35,96.25,2.64,33.0,5.2,mb,USGS
2002-11-02,01:56:53,95.89,2.59,33.0,5.0,mb,USGS
2002-11-02,02:20:02,95.8,2.33,23.4,4.6,mb,USGS
2002-11-02,02:56:34,95.7,2.51,33.0,4.8,mb,USGS
2002-11-02,03:46:53,96.12,2.71,33.0,4.7,mb,USGS
2002-11-02,03:56:31,96.06,2.6,33.0,4.8,mb,USGS
2002-11-02,04:19:11,96.2,2.52,33.0,4.6,mb,USGS
2002-11-02,07:08:48,96.15,2.53,33.0,4.4,mb,USGS
2002-11-02,09:46:46,96.39,2.95,27.0,6.3,mwc,USGS
2002-11-02,14:44:57,96.31,2.97,33.0,4.7,mb,USGS
2002-11-02,19:58:26,96.35,2.58,33.0,4.9,mb,USGS
2002-11-02,21:26:11,95.92,2.2,33.0,4.8,mb,USGS
2002-11-03,03:59:42,95.96,2.77,33.0,4.7,mb,USGS
2002-11-03,18:57:07,96.24,2.38,33.0,4.5,mb,USGS
2002-11-04,03:46:53,96.04,2.49,33.0,4.9,mb,USGS
2002-11-08,04:27:52,95.99,2.64,33.0,4.5,mb,USGS
