Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2003-03-17,16:36:17,177.98,51.27,33.0,7.1,mwb,USGS
2003-03-17,16:41:48,177.36,50.43,10.0,4.3,ml,USGS
2003-03-17,16:51:04,177.39,51.6,33.0,4.0,mb,USGS
2003-03-17,16:55:05,177.86,51.43,33.0,4.8,mb,USGS
2003-03-17,17:00:59,177.8,51.36,33.0,3.9,mb,USGS
2003-03-17,17:03:36,177.79,50.61,10.0,3.4,ml,USGS
2003-03-17,17:08:45,177.79,50.74,10.0,3.1,ml,USGS
2003-03-17,17:12:42,177.25,50.0,10.0,4.2,mb,USGS
2003-03-17,17:12:51,177.53,51.38,33.0,4.2,mb,USGS
2003-03-17,17:19:03,177.75,51.12,33.0,3.6,mb,USGS
2003-03-17,17:26:41,177.53,50.43,10.0,3.7,mb,USGS
2003-03-17,17:26:45,177.93,51.35,33.0,3.7,mb,USGS
2003-03-17,17:28:44,177.75,50.51,9.3,3.4,ml,USGS
2003-03-17,17:35:36,177.23,50.17,10.0,4.4,mb,USGS
2003-03-17,17:35:43,177.67,51.26,33.0,4.4,mb,USGS
2003-03-17,17:38:57,177.52,50.29,10.0,3.8,ml,USGS
2003-03-17,17:39:04,178.02,51.61,33.0,3.3,mb,USGS
2003-03-17,17:42:51,177.57,50.51,10.0,3.5,ml,USGS
2003-03-17,17:44:49,177.55,51.2,4.4,3.4,ml,USGS
2003-03-17,17:47:26,177.61,50.22,25.6,4.4,mb,USGS
2003-03-17,17:47:31,177.76,51.42,33.0,4.4,mb,USGS
2003-03-17,18:02:21,177.34,50.48,11.8,3.5,ml,USGS
2003-03-17,18:06:22,177.65,50.77,10.4,3.5,ml,USGS
2003-03-17,18:08:02,177.38,50.31,12.1,3.6,mb,USGS
2003-03-17,18:08:07,177.69,51.29,33.0,3.6,mb,USGS
2003-03-17,18:11:46,177.51,50.53,10.0,3.5,ml,USGS
2003-03-17,18:15:22,177.74,50.7,9.9,2.9,ml,USGS
2003-03-17,18:20:48,177.14,50.45,10.0,4.4,mb,USGS
2003-03-17,18:20:53,177.48,51.36,33.0,4.4,mb,USGS
2003-03-17,18:22:18,177.92,51.2,33.0,4.8,mb,USGS
2003-03-17,18:34:39,177.75,50.45,31.3,3.4,ml,USGS
2003-03-17,18:44:57,177.31,50.31,7.9,3.5,ml,USGS
2003-03-17,18:47:02,177.59,50.31,10.0,3.6,ml,USGS
2003-03-17,18:55:47,177.97,51.3,33.0,6.2,mwc,USGS
2003-03-17,19:09:34,177.53,51.03,10.0,3.1,ml,USGS
2003-03-17,19:12:18,177.6,50.44,25.5,4.0,mb,USGS
2003-03-17,19:12:21,177.83,51.39,33.0,4.0,mb,USGS
2003-03-17,19:25:09,177.59,50.67,10.0,3.3,ml,USGS
2003-03-17,19:37:46,177.58,50.33,1.2,5.1,mb,USGS
2003-03-17,19:37:53,177.99,51.25,33.0,5.1,mb,USGS
2003-03-17,19:42:34,177.4,50.45,10.0,3.7,ml,USGS
2003-03-17,19:44:56,177.74,50.58,10.0,3.4,ml,USGS
2003-03-17,19:47:25,177.5,51.35,33.0,3.8,mb,USGS
2003-03-17,20:14:15,177.98,51.3,33.0,5.1,mb,USGS
2003-03-17,20:24:46,176.75,50.95,14.4,3.7,ml,USGS
2003-03-17,20:26:00,177.22,50.55,5.4,3.9,mb,USGS
2003-03-17,20:26:06,177.44,51.61,33.0,3.9,mb,USGS
2003-03-17,20:47:17,177.25,50.13,10.0,3.5,ml,USGS
2003-03-17,20:55:04,177.46,50.3,10.0,4.9,mb,USGS
2003-03-17,20:55:10,177.94,51.38,33.0,4.9,mb,USGS
2003-03-17,21:04:38,177.12,49.88,10.0,4.5,mb,USGS
2003-03-17,21:04:48,177.65,51.31,33.0,4.5,mb,USGS
2003-03-17,21:29:57,177.3,50.43,18.1,4.1,mb,USGS
2003-03-17,21:30:00,177.69,51.51,33.0,4.1,mb,USGS
2003-03-17,21:36:17,177.58,50.16,33.3,3.3,ml,USGS
2003-03-17,22:20:23,177.53,50.27,1.3,4.4,mb,USGS
2003-03-17,22:20:29,177.78,51.28,33.0,4.4,mb,USGS
2003-03-17,22:24:18,177.48,50.29,4.3,3.2,ml,USGS
2003-03-17,22:31:40,177.24,49.53,10.0,5.4,mw,USGS
2003-03-17,22:31:57,177.81,51.25,33.0,5.4,mwc,USGS
2003-03-17,22:46:45,177.06,50.5,10.0,3.4,ml,USGS
