Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2000-07-16,03:57:45,150.92,-7.75,10.0,6.6,mwc,USGS
2000-07-16,04:48:27,150.83,-7.56,10.0,4.8,mb,USGS
2000-07-16,06:19:51,150.93,-7.63,10.0,4.7,mb,USGS
2000-07-16,19:07:13,150.89,-7.68,10.0,4.3,mb,USGS
2000-07-16,20:48:07,150.59,-8.29,33.0,4.3,mb,USGS
2000-07-16,22:34:57,150.91,-7.45,10.0,4.9,mb,USGS
2000-07-17,11:12:42,150.99,-7.66,33.0,4.5,mb,USGS
2000-07-17,12:45:22,150.37,-6.53,33.0,4.7,mb,USGS
2000-07-18,20:02:57,151.05,-7.68,33.0,4.5,mb,USGS
2000-07-22,04:22:27,150.91,-7.61,31.9,4.9,mb,USGS
