Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2001-08-27,01:16:47,126.36,1.09,33.0,6.1,mwc,USGS
2001-08-27,01:21:48,126.42,1.16,33.0,5.1,mb,USGS
2001-08-27,01:30:55,126.45,1.12,33.0,5.1,mb,USGS
2001-08-27,01:36:59,126.55,1.07,33.0,4.0,mb,USGS
2001-08-27,02:21:00,126.41,1.11,33.0,5.0,mb,USGS
2001-08-27,02:30:29,126.73,1.19,33.0,4.2,mb,USGS
2001-08-27,02:31:41,126.45,1.19,33.0,5.3,mb,USGS
2001-08-27,05:07:58,126.42,1.0,33.0,4.3,mb,USGS
2001-08-27,12:46:37,126.61,1.1,33.0,4.2,mb,USGS
2001-08-27,14:41:40,126.37,1.06,33.0,5.0,mb,USGS
2001-08-27,23:43:09,126.34,1.04,33.0,5.1,mb,USGS
2001-08-27,23:47:07,126.5,0.98,33.0,4.1,mb,USGS
2001-08-28,08:52:12,127.46,2.8,33.0,4.4,mb,USGS
2001-08-28,10:06:13,126.5,1.01,33.0,4.9,mb,USGS
2001-08-30,11:00:47,126.37,0.98,33.0,4.2,mb,USGS
2001-08-31,08:15:51,126.22,1.54,33.0,4.8,mb,USGS
2001-08-31,16:06:35,126.25,1.54,33.0,5.0,mb,USGS
2001-08-31,20:38:31,126.53,3.7,33.0,4.4,mb,USGS
2001-09-01,23:33:15,126.08,1.19,33.0,5.3,mwc,USGS
2001-09-02,00:32:32,125.73,0.82,33.0,4.3,mb,USGS
2001-09-02,10:19:12,126.22,0.34,33.0,4.8,mb,USGS
2001-09-02,20:30:56,126.56,1.17,33.0,4.7,mb,USGS
