Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2002-06-18,13:56:22,-71.12,-30.8,54.0,6.6,mwb,USGS
2002-06-18,15:54:04,-68.89,-31.64,33.0,4.8,mb,USGS
2002-06-18,16:35:19,-69.22,-31.62,2.0,3.3,ml,USGS
2002-06-18,17:54:24,-70.56,-33.3,86.2,2.8,md,USGS
2002-06-18,19:00:17,-71.76,-32.66,14.5,3.7,ml,USGS
2002-06-19,03:32:48,-72.84,-32.88,8.2,3.8,md,USGS
2002-06-19,04:16:35,-71.48,-31.96,35.8,3.9,md,USGS
2002-06-19,05:58:43,-71.87,-32.37,16.2,3.2,md,USGS
2002-06-19,15:54:36,-70.44,-31.96,128.3,3.4,md,USGS
2002-06-20,14:02:55,-71.32,-30.95,46.2,4.2,md,USGS
2002-06-20,18:08:22,-69.53,-30.74,150.0,4.2,md,USGS
2002-06-20,23:58:36,-71.42,-32.69,10.4,3.7,md,USGS
2002-06-21,04:29:44,-70.02,-31.56,138.2,3.2,md,USGS
2002-06-21,10:15:09,-70.35,-32.36,111.2,2.9,md,USGS
2002-06-21,21:18:17,-71.29,-32.87,48.1,3.1,md,USGS
2002-06-22,00:17:17,-71.21,-32.09,78.1,3.3,md,USGS
2002-06-22,01:31:44,-69.82,-32.61,147.3,3.2,md,USGS
2002-06-22,05:35:11,-70.07,-32.36,100.9,3.1,md,USGS
2002-06-22,11:02:18,-69.38,-31.78,118.1,4.3,mb,USGS
2002-06-22,14:48:15,-71.74,-32.15,20.0,3.3,ml,USGS
2002-06-23,05:58:17,-69.56,-31.43,202.0,3.6,md,USGS
2002-06-23,09:11:41,-69.79,-31.23,169.0,3.6,md,USGS
2002-06-23,11:10:42,-71.17,-30.84,67.1,5.4,mwb,USGS
2002-06-23,11:42:47,-69.33,-31.46,100.0,3.9,md,USGS
2002-06-23,16:46:11,-71.65,-32.68,4.4,3.6,md,USGS
2002-06-23,20:11:54,-71.31,-31.48,68.1,4.2,md,USGS
2002-06-24,09:09:33,-71.38,-30.86,38.3,3.8,md,USGS
2002-06-24,14:18:45,-71.09,-32.29,78.9,3.6,md,USGS
