Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2001-02-24,16:33:44,126.43,1.55,33.0,6.2,mwc,USGS
2001-02-24,16:53:58,126.36,1.56,33.0,4.8,mb,USGS
2001-02-24,17:56:30,126.41,1.54,33.0,3.8,mb,USGS
2001-02-24,18:04:49,126.36,1.5,33.0,4.7,mb,USGS
2001-02-24,18:44:18,126.36,1.54,33.0,4.9,mb,USGS
2001-02-24,19:16:23,126.4,1.57,33.0,4.6,mb,USGS
2001-02-24,19:41:47,126.31,1.45,33.0,4.3,mb,USGS
2001-02-24,21:53:28,126.26,1.46,33.0,4.6,mb,USGS
2001-02-24,22:56:45,126.38,1.57,33.0,5.3,mb,USGS
2001-02-25,00:13:18,126.27,1.08,33.0,4.0,mb,USGS
2001-02-25,02:08:15,126.38,1.46,33.0,4.8,mb,USGS
2001-02-25,06:47:04,125.91,1.32,33.0,4.4,mb,USGS
2001-02-25,06:53:49,126.57,1.57,33.0,4.4,mb,USGS
2001-02-25,08:57:54,126.55,1.52,33.0,4.6,mb,USGS
2001-02-25,10:49:49,127.33,2.12,33.0,5.2,mb,USGS
2001-02-25,17:02:07,126.55,1.56,33.0,4.3,mb,USGS
2001-02-25,21:32:21,126.53,1.45,33.0,4.8,mb,USGS
2001-02-26,00:55:26,126.12,1.31,33.0,4.4,mb,USGS
2001-02-26,02:55:45,126.36,1.47,64.1,4.7,mb,USGS
2001-02-26,05:45:15,126.41,1.57,33.0,5.4,mb,USGS
2001-02-26,09:18:19,126.39,1.3,33.0,5.4,mwc,USGS
2001-02-26,09:31:09,126.43,1.82,33.0,5.1,mb,USGS
2001-02-26,10:59:16,126.27,1.84,33.0,4.7,mb,USGS
2001-02-26,13:47:34,126.44,1.48,33.0,4.3,mb,USGS
2001-02-26,15:16:35,126.34,1.34,60.2,5.1,mwc,USGS
2001-02-26,18:19:54,126.33,1.43,33.0,4.6,mb,USGS
2001-02-26,19:14:23,126.46,1.44,33.0,4.7,mb,USGS
2001-02-26,20:25:18,126.57,2.46,64.8,4.8,mb,USGS
2001-02-26,23:23:36,126.36,1.48,33.0,4.8,mb,USGS
2001-02-27,17:46:28,125.0,3.81,294.2,4.5,mb,USGS
2001-03-01,03:35:23,126.76,1.34,33.0,4.0,mb,USGS
2001-03-01,06:48:47,127.0,3.23,33.0,4.8,mb,USGS
2001-03-01,15:38:44,127.57,1.68,33.0,4.1,mb,USGS
2001-03-01,23:10:42,128.77,1.8,33.0,4.7,mb,USGS
2001-03-03,05:56:32,126.66,1.54,33.0,5.2,mwc,USGS
2001-03-03,09:58:19,126.25,1.41,33.0,4.7,mb,USGS
