Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2001-01-13,17:33:32,-88.66,13.05,60.0,7.7,mwc,USGS
2001-01-13,20:56:31,-88.79,13.44,33.0,4.2,mb,USGS
2001-01-13,22:55:30,-88.8,12.58,33.0,4.7,mb,USGS
2001-01-14,02:33:56,-88.56,13.01,33.0,4.4,mb,USGS
2001-01-14,02:53:36,-88.91,13.17,63.3,4.6,mb,USGS
2001-01-14,05:17:31,-88.41,12.48,33.0,4.2,mb,USGS
2001-01-14,05:37:34,-89.08,13.02,54.6,4.2,mb,USGS
2001-01-14,07:02:47,-88.94,13.12,55.3,4.2,mb,USGS
2001-01-14,07:30:08,-88.4,13.21,33.0,3.6,mb,USGS
2001-01-14,08:02:45,-88.84,13.28,59.8,4.0,mb,USGS
2001-01-14,08:28:16,-88.52,12.88,54.8,4.2,mb,USGS
2001-01-14,08:54:54,-88.64,13.04,54.0,4.3,mb,USGS
2001-01-14,09:23:55,-88.72,13.09,55.8,4.3,mb,USGS
2001-01-14,11:09:18,-88.59,13.01,45.7,4.6,mb,USGS
2001-01-14,15:13:59,-89.39,13.55,33.0,4.3,mb,USGS
2001-01-14,15:41:30,-89.21,13.85,33.0,4.5,mb,USGS
2001-01-14,16:19:31,-88.35,13.17,33.0,3.3,md,USGS
2001-01-14,16:22:20,-89.14,13.76,33.0,4.1,mb,USGS
2001-01-14,17:01:59,-88.45,13.16,33.0,3.5,mb,USGS
2001-01-14,18:17:29,-89.01,13.15,33.0,4.2,mb,USGS
2001-01-14,21:20:18,-89.37,14.0,33.0,4.3,mb,USGS
2001-01-14,22:41:28,-88.59,13.12,48.8,5.7,mwc,USGS
2001-01-14,22:46:03,-88.82,12.82,33.0,4.4,mb,USGS
2001-01-14,22:47:53,-88.61,12.89,42.6,5.2,mb,USGS
2001-01-15,00:22:56,-88.76,12.99,68.1,5.3,mwc,USGS
2001-01-15,00:50:13,-88.94,12.86,66.3,4.7,mb,USGS
2001-01-15,02:52:51,-88.5,13.34,33.0,4.1,mb,USGS
2001-01-15,05:09:11,-88.79,13.18,67.7,5.6,mwc,USGS
2001-01-15,05:48:55,-88.12,12.0,33.0,4.1,mb,USGS
2001-01-15,10:07:32,-88.75,12.98,69.1,4.4,mb,USGS
2001-01-15,12:20:10,-88.58,13.08,74.6,5.8,mwc,USGS
2001-01-15,15:31:22,-88.31,13.56,33.0,4.7,mb,USGS
2001-01-16,02:57:08,-88.67,13.13,58.0,4.0,mb,USGS
2001-01-16,03:17:41,-88.64,13.21,57.5,4.6,mb,USGS
2001-01-16,04:38:47,-88.38,12.62,51.0,4.7,mb,USGS
2001-01-16,08:22:09,-88.6,13.02,44.0,5.7,mwc,USGS
2001-01-16,10:58:17,-88.7,12.98,62.6,5.7,mwc,USGS
2001-01-16,11:24:33,-88.85,13.08,67.9,4.8,mb,USGS
2001-01-16,11:53:24,-89.46,13.81,33.0,4.4,mb,USGS
2001-01-16,13:51:41,-88.48,13.02,33.0,3.9,md,USGS
2001-01-16,17:26:39,-88.77,12.89,67.3,4.5,mb,USGS
2001-01-16,22:07:59,-91.17,13.56,33.0,3.7,mb,USGS
2001-01-16,23:32:52,-89.1,13.28,58.4,4.4,mb,USGS
2001-01-17,01:40:15,-88.93,13.02,44.5,5.4,mwc,USGS
2001-01-17,06:51:12,-86.4,12.06,33.0,4.3,mb,USGS
2001-01-17,21:05:39,-89.06,13.0,45.7,4.6,mb,USGS
2001-01-19,18:02:41,-87.12,11.95,20.0,3.8,mb,USGS
2001-01-19,21:18:51,-88.99,12.21,81.1,4.6,md,USGS
2001-01-20,06:20:19,-89.49,11.81,137.6,4.5,md,USGS
2001-01-20,16:25:40,-88.15,11.81,33.0,4.5,mb,USGS
