Date,Time,Lon,Lat,Depth,Mag,MagType,Source
2002-07-31,00:16:44,-82.79,7.93,10.0,6.5,mwc,USGS
2002-07-31,00:56:45,-82.86,8.09,10.0,4.4,md,USGS
2002-07-31,01:54:22,-82.78,8.17,10.0,5.2,ms,USGS
2002-07-31,02:31:52,-82.86,8.28,10.0,4.6,mb,USGS
2002-07-31,04:45:14,-82.79,7.91,10.0,5.3,mwc,USGS
2002-07-31,07:38:24,-82.88,7.69,10.0,4.7,mb,USGS
2002-07-31,10:40:51,-82.93,7.92,10.0,4.0,md,USGS
2002-07-31,13:08:12,-82.95,7.91,10.0,4.8,md,USGS
2002-08-01,19:10:10,-82.75,7.75,10.0,5.2,mwc,USGS
2002-08-03,02:39:01,-82.82,8.26,10.0,5.8,mwc,USGS
2002-08-03,21:50:12,-82.87,8.15,10.2,4.4,md,USGS
2002-08-06,00:18:14,-82.4,6.57,10.0,4.6,mb,USGS
